iter	Passed	Remaining
409	2115	3044
410	2118	3035
411	2120	3026
412	2123	3017
413	2126	3009
414	2129	3001
415	2132	2994
416	2135	2985
417	2137	2976
418	2140	2968
419	2143	2959
420	2145	2951
421	2148	2942
422	2150	2933
423	2153	2925
424	2155	2916
425	2159	2910
426	2162	2902
427	2165	2894
428	2168	2885
429	2170	2877
430	2173	2869
431	2175	2861
432	2178	2853
433	2181	2845
434	2184	2837
435	2187	2829
436	2189	2821
437	2192	2813
438	2195	2805
439	2197	2797
440	2200	2789
441	2203	2781
442	2206	2774
443	2209	2766
444	2212	2759
445	2215	2751
446	2217	2743
447	2220	2736
448	2223	2728
449	2225	2720
450	2228	2712
451	2232	2706
452	2234	2698
453	2237	2690
454	2239	2683
455	2242	2675
456	2245	2667
457	2247	2660
458	2250	2652
459	2253	2644
460	2255	2637
461	2258	2629
462	2260	2622
463	2263	2614
464	2265	2606
465	2268	2599
466	2271	2592
467	2273	2584
468	2276	2577
469	2279	2570
470	2281	2562
471	2284	2555
472	2287	2548
473	2289	2541
474	2292	2534
475	2295	2527
476	2298	2519
477	2300	2512
478	2305	2508
479	2309	2501
480	2311	2494
481	2314	2487
482	2317	2480
483	2320	2473
484	2322	2466
485	2325	2459
486	2327	2452
487	2330	2444
488	2334	2440
489	2337	2432
490	2340	2425
491	2342	2418
492	2345	2411
493	2347	2404
494	2350	2397
495	2352	2390
496	2355	2384
497	2357	2376
498	2360	2370
499	2368	2368
500	2371	2361
501	2373	2354
502	2376	2348
503	2379	2341
504	2381	2334
505	2384	2327
506	2386	2321
507	2389	2314
508	2392	2307
509	2394	2300
510	2397	2294
511	2399	2287
512	2402	2281
513	2405	2274
514	2407	2267
515	2410	2261
516	2413	2254
517	2415	2248
518	2418	2241
519	2421	2235
520	2424	2228
521	2427	2222
522	2429	2215
523	2432	2209
524	2435	2203
525	2437	2196
526	2440	2190
527	2442	2183
528	2445	2177
529	2448	2171
530	2450	2164
531	2453	2158
532	2456	2152
533	2458	2145
534	2461	2139
535	2463	2132
536	2466	2126
537	2469	2120
538	2472	2114
539	2474	2107
540	2477	2101
541	2479	2095
542	2482	2089
543	2484	2082
544	2487	2076
545	2489	2070
546	2492	2064
547	2496	2059
548	2499	2052
549	2501	2046
550	2504	2040
551	2506	2034
552	2509	2028
553	2511	2022
554	2514	2016
555	2517	2010
556	2519	2004
557	2522	1997
558	2525	1992
559	2527	1985
560	2529	1979
561	2532	1973
562	2535	1967
563	2537	1961
564	2540	1955
565	2542	1949
566	2545	1943
567	2547	1937
568	2550	1931
569	2553	1926
570	2555	1920
571	2558	1914
572	2560	1908
573	2563	1902
574	2566	1896
575	2568	1890
576	2571	1885
577	2574	1879
578	2576	1873
579	2579	1867
580	2582	1862
581	2584	1856
582	2587	1850
583	2590	1845
584	2592	1839
585	2595	1833
586	2598	1828
587	2601	1822
588	2603	1816
589	2606	1811
590	2609	1805
591	2611	1800
592	2614	1794
593	2616	1788
594	2619	1783
595	2622	1777
596	2625	1772
597	2627	1766
598	2630	1760
599	2632	1755
600	2635	1749
601	2637	1743
602	2641	1739
603	2644	1733
604	2646	1728
605	2649	1722
606	2651	1717
607	2655	1712
608	2658	1706
609	2660	1701
610	2663	1695
611	2666	1690
612	2668	1684
613	2670	1679
614	2673	1673
615	2676	1668
616	2678	1662
617	2684	1659
618	2686	1653
619	2689	1648
620	2691	1642
621	2694	1637
622	2697	1632
623	2699	1626
624	2702	1621
625	2705	1616
626	2706	1610
627	2709	1605
628	2712	1599
629	2714	1594
630	2717	1589
631	2719	1583
632	2722	1578
633	2725	1573
634	2727	1567
635	2730	1562
636	2732	1557
637	2735	1552
638	2738	1546
639	2747	1545
640	2753	1542
641	2756	1536
642	2758	1531
643	2761	1526
644	2765	1521
645	2767	1516
646	2770	1511
647	2773	1506
648	2775	1501
649	2778	1496
650	2781	1490
651	2783	1485
652	2786	1480
653	2789	1475
654	2792	1470
655	2794	1465
656	2797	1460
657	2800	1455
658	2803	1450
659	2806	1445
660	2808	1440
661	2811	1435
662	2813	1430
663	2817	1425
664	2819	1420
665	2822	1415
666	2824	1410
667	2827	1405
668	2829	1400
669	2832	1395
670	2835	1390
671	2838	1385
672	2840	1380
673	2843	1375
674	2846	1370
675	2849	1365
676	2851	1360
677	2854	1355
678	2857	1350
679	2859	1345
680	2862	1340
681	2864	1335
682	2867	1330
683	2870	1325
684	2874	1321
685	2877	1317
686	2880	1312
687	2882	1307
688	2885	1302
689	2887	1297
690	2890	1292
691	2893	1287
692	2896	1283
693	2898	1278
694	2901	1273
695	2903	1268
696	2906	1263
697	2909	1258
698	2911	1253
699	2914	1248
700	2917	1244
701	2920	1239
702	2922	1234
703	2925	1230
704	2928	1225
705	2929	1220
706	2932	1215
707	2935	1210
708	2937	1205
709	2940	1200
710	2942	1196
711	2945	1191
712	2947	1186
713	2950	1181
714	2952	1177
715	2955	1172
716	2957	1167
717	2961	1163
718	2964	1158
719	2966	1153
720	2971	1149
721	2976	1146
722	2979	1141
723	2981	1136
724	2984	1131
725	2987	1127
726	2989	1122
727	2992	1118
728	2995	1113
729	2997	1108
730	3000	1104
731	3002	1099
732	3005	1094
733	3008	1090
734	3011	1085
735	3013	1080
736	3016	1076
737	3018	1071
738	3021	1067
739	3024	1062
740	3026	1057
741	3029	1053
742	3031	1048
743	3034	1044
744	3037	1039
745	3039	1034
746	3042	1030
747	3044	1025
748	3047	1021
749	3050	1016
750	3052	1012
751	3055	1007
752	3057	1002
753	3060	998
754	3062	993
755	3065	989
756	3068	984
757	3070	980
758	3073	975
759	3075	971
760	3078	966
761	3081	962
762	3083	957
763	3086	953
764	3089	948
765	3091	944
766	3094	940
767	3096	935
768	3099	931
769	3102	926
770	3104	922
771	3107	917
772	3114	914
773	3117	910
774	3119	905
775	3122	901
776	3125	896
777	3127	892
778	3130	888
779	3132	883
780	3135	879
781	3139	875
782	3141	870
783	3144	866
784	3146	861
785	3149	857
786	3152	853
787	3154	848
788	3157	844
789	3160	840
790	3163	835
791	3166	831
792	3168	827
793	3171	822
794	3174	818
795	3176	814
796	3179	809
797	3182	805
798	3184	801
799	3186	796
800	3189	792
801	3192	788
802	3194	783
803	3197	779
804	3199	775
805	3202	770
806	3205	766
807	3207	762
808	3210	757
809	3212	753
810	3215	749
811	3217	745
812	3220	740
813	3223	736
814	3229	733
815	3232	728
816	3234	724
817	3236	720
818	3242	716
819	3245	712
820	3247	708
821	3250	703
822	3252	699
823	3255	695
824	3258	691
825	3260	686
826	3263	682
827	3265	678
828	3268	674
829	3271	670
830	3274	665
831	3276	661
832	3279	657
833	3281	653
834	3284	649
835	3287	644
836	3289	640
837	3292	636
838	3295	632
839	3297	628
840	3300	623
841	3302	619
842	3305	615
843	3308	611
844	3310	607
845	3313	603
846	3315	598
847	3318	594
848	3320	590
849	3323	586
850	3326	582
851	3328	578
852	3331	574
853	3334	569
854	3336	565
855	3339	561
856	3341	557
857	3344	553
858	3346	549
859	3349	545
860	3352	541
861	3354	537
862	3357	532
863	3360	528
864	3362	524
865	3365	520
866	3367	516
867	3370	512
868	3372	508
869	3375	504
870	3378	500
871	3380	496
872	3383	492
873	3386	488
874	3388	484
875	3391	480
876	3394	476
877	3396	471
878	3398	467
879	3401	463
880	3404	459
881	3406	455
882	3409	451
883	3412	447
884	3414	443
885	3417	439
886	3420	435
887	3422	431
888	3425	427
889	3428	423
890	3430	419
891	3433	415
892	3435	411
893	3438	407
894	3441	403
895	3443	399
896	3446	395
897	3448	391
898	3451	387
899	3454	383
900	3456	379
901	3459	375
902	3462	371
903	3465	367
904	3467	364
